concept_cd,concept_path,name_char,concept_blob,update_date,download_date,import_date,sourcesystem_cd,upload_id,table_name
C11,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\NASOPHARYNX\",NASOPHARYNX,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\OTHER AND UNSPECIFIED PARTS OF MOUTH\",OTHER AND UNSPECIFIED PARTS OF MOUTH,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.2,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Scrotum, NOS\Scrotum, NOS\","Scrotum, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Male genital organs, NOS\Male genital organs, NOS\","Male genital organs, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.8,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Overlapping lesion of male genital organs\Overlapping lesion of male genital organs\,Overlapping lesion of male genital organs,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.0,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Epididymis\Epididymis\,Epididymis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Spermatic cord\Spermatic cord\,Spermatic cord,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.7,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Other specified parts of male genital organs\Other specified parts of male genital organs\,Other specified parts of male genital organs,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C62.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\TESTIS\Testis, NOS\Testis, NOS\","Testis, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C62.0,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\TESTIS\Undescended testis\Undescended testis\,Undescended testis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C62.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\TESTIS\Descended testis\Descended testis\,Descended testis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C64,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\KIDNEY\KIDNEY\,KIDNEY,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C04.8,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\FLOOR OF MOUTH\Overlapping lesion of floor of mouth\Overlapping lesion of floor of mouth\",Overlapping lesion of floor of mouth,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C04.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\FLOOR OF MOUTH\Floor of mouth, NOS\Floor of mouth, NOS\","Floor of mouth, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.1,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Posterior wall of nasopharynx\Posterior wall of nasopharynx\",Posterior wall of nasopharynx,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.0,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Superior wall of nasopharynx\Superior wall of nasopharynx\",Superior wall of nasopharynx,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Nasopharynx, NOS\Nasopharynx, NOS\","Nasopharynx, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.2,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Lateral wall of nasopharynx\Lateral wall of nasopharynx\",Lateral wall of nasopharynx,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.8,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Overlapping lesion of nasopharynx\Overlapping lesion of nasopharynx\",Overlapping lesion of nasopharynx,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C11.3,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\NASOPHARYNX\Anterior wall of nasopharynx\Anterior wall of nasopharynx\",Anterior wall of nasopharynx,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06.1,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\Vestibule of mouth\Vestibule of mouth\",Vestibule of mouth,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C40.1,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Short bones of upper limb and associated joints\Short bones of upper limb and associated joints\",Short bones of upper limb and associated joints,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C40.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Bone of limb, NOS\Bone of limb, NOS\","Bone of limb, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C40.3,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Short bones of lower limb and associated joints\Short bones of lower limb and associated joints\",Short bones of lower limb and associated joints,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C40.2,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Long bones of lower limb and associated joints\Long bones of lower limb and associated joints\",Long bones of lower limb and associated joints,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C40.8,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Overlapping lesion of bones, joints and articular cartilage of limbs\Overlapping lesion of bones, joints and articular cartilage of limbs\","Overlapping lesion of bones, joints and articular cartilage of limbs",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.0,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Bones of skull and face and associated joints\Bones of skull and face and associated joints\",Bones of skull and face and associated joints,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.4,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Pelvic bones, Sacrum, Coccyx and associated joints\Pelvic bones, Sacrum, Coccyx and associated joints\","Pelvic bones, Sacrum, Coccyx and associated joints",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.1,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Mandible\Mandible\",Mandible,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C66,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\URETER\URETER\,URETER,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C65,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\RENAL PELVIS\RENAL PELVIS\,RENAL PELVIS,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.3,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Skin of other and unspecified parts of face\Skin of other and unspecified parts of face\,Skin of other and unspecified parts of face,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Skin, NOS\Skin, NOS\","Skin, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.6,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Skin of upper limb and shoulder\Skin of upper limb and shoulder\,Skin of upper limb and shoulder,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.8,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Overlapping lesion of skin\Overlapping lesion of skin\,Overlapping lesion of skin,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.7,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Skin of lower limb and hip\Skin of lower limb and hip\,Skin of lower limb and hip,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.2,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\External ear\External ear\,External ear,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Eyelid\Eyelid\,Eyelid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C60.2,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\PENIS\Body of penis\Body of penis\,Body of penis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C60.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\PENIS\Penis, NOS\Penis, NOS\","Penis, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C60.0,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\PENIS\Prepuce\Prepuce\,Prepuce,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C60.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\PENIS\Glans penis\Glans penis\,Glans penis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C60.8,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\MALE GENITAL ORGANS\PENIS\Overlapping lesion of penis\Overlapping lesion of penis\,Overlapping lesion of penis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C64.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\KIDNEY\Kidney, NOS\Kidney, NOS\","Kidney, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.9,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Corpus uteri\Corpus uteri\,Corpus uteri,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.8,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Overlapping lesion of corpus uteri\Overlapping lesion of corpus uteri\,Overlapping lesion of corpus uteri,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.2,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Myometrium\Myometrium\,Myometrium,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Endometrium\Endometrium\,Endometrium,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.3,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Fundus uteri\Fundus uteri\,Fundus uteri,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C54.0,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\CORPUS UTERI\Isthmus uteri\Isthmus uteri\,Isthmus uteri,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06.2,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\Retromolar area\Retromolar area\",Retromolar area,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06.0,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\Cheek mucosa\Cheek mucosa\",Cheek mucosa,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\Mouth, NOS\Mouth, NOS\","Mouth, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C06.8,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF MOUTH\Overlapping lesion of other and unspecified parts of mouth\Overlapping lesion of other and unspecified parts of mouth\",Overlapping lesion of other and unspecified parts of mouth,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C65.9,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\RENAL PELVIS\Renal pelvis\Renal pelvis\,Renal pelvis,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C68.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\OTHER AND UNSPECIFIED URINARY ORGANS\Urinary system, NOS\Urinary system, NOS\","Urinary system, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C68.8,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\OTHER AND UNSPECIFIED URINARY ORGANS\Overlapping lesion of urinary organs\Overlapping lesion of urinary organs\,Overlapping lesion of urinary organs,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C68.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\URINARY TRACT\OTHER AND UNSPECIFIED URINARY ORGANS\Paraurethral gland\Paraurethral gland\,Paraurethral gland,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.3,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Rib, Sternum, Clavicle and associated joints\Rib, Sternum, Clavicle and associated joints\","Rib, Sternum, Clavicle and associated joints",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C51.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\FEMALE GENITAL ORGANS\VULVA\Vulva, NOS\Vulva, NOS\","Vulva, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.8,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Overlapping lesion of bones, joints and articular cartilage\Overlapping lesion of bones, joints and articular cartilage\","Overlapping lesion of bones, joints and articular cartilage",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Bone, NOS\Bone, NOS\","Bone, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C41.2,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES\Vertebral column\Vertebral column\",Vertebral column,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C75.5,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\THYROID AND OTHER ENDOCRINE GLANDS\OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES\Aortic body and other paraganglia\Aortic body and other paraganglia\,Aortic body and other paraganglia,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
TEMP,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Tumour Location\Tumour Location\,Tumour Location,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C75.3,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\THYROID AND OTHER ENDOCRINE GLANDS\OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES\Pineal gland\Pineal gland\,Pineal gland,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C75.1,\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\THYROID AND OTHER ENDOCRINE GLANDS\OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES\Pituitary gland\Pituitary gland\,Pituitary gland,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C75.9,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\THYROID AND OTHER ENDOCRINE GLANDS\OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES\Endocrine gland, NOS\Endocrine gland, NOS\","Endocrine gland, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C44.0,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\SKIN\Skin of lip, NOS\Skin of lip, NOS\","Skin of lip, NOS",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
